Format Version,1.23,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,
,ID,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,
179,0.497222,,,,,,,,
180,0.5,,,,,,,,
181,0.502778,-131.119522,-52.236095,138.156189,1.073993,0.107058,0.414722,0.000661,
182,0.505556,,,,,,,,
183,0.508333,-131.143478,-52.35788,138.055588,1.074197,0.107058,0.414651,0.000626,
184,0.511111,-131.132935,-52.304985,138.105255,1.074108,0.107061,0.414684,0.000642,
185,0.513889,,,,,,,,
186,0.516667,-131.151138,-52.3237,138.081863,1.074134,0.107046,0.414687,0.000633,
187,0.519444,,,,,,,,
188,0.522222,,,,,,,,
189,0.525,-131.139267,-52.350864,138.076767,1.074176,0.107082,0.414664,0.000631,
190,0.527778,,,,,,,,
191,0.530556,-131.133636,-52.318951,138.092392,1.074122,0.107082,0.414671,0.000644,
192,0.533333,,,,,,,,
193,0.536111,,,,,,,,
194,0.538889,-131.156113,-52.32423,138.072647,1.074145,0.107078,0.414667,0.000646,
195,0.541667,,,,,,,,
196,0.544444,-131.147507,-52.35067,138.071167,1.074171,0.107075,0.414678,0.000632,
197,0.547222,,,,,,,,
198,0.55,,,,,,,,
199,0.552778,,,,,,,,
200,0.555556,,,,,,,,
201,0.558333,-131.175278,-52.379143,138.029816,1.07422,0.107064,0.414655,0.000644,
202,0.561111,,,,,,,,
203,0.563889,,,,,,,,
204,0.566667,-131.179077,-52.303436,138.08638,1.074098,0.107066,0.41473,0.000652,
205,0.569444,,,,,,,,
206,0.572222,-131.149139,-52.345875,138.068069,1.074144,0.107057,0.414658,0.000625,
207,0.575,,,,,,,,
208,0.577778,-131.161774,-52.38953,138.023849,1.074225,0.107064,0.414641,0.000623,
209,0.580556,,,,,,,,
210,0.583333,,,,,,,,
211,0.586111,-131.147552,-52.349773,138.065857,1.074154,0.107075,0.414678,0.000624,
212,0.588889,,,,,,,,
213,0.591667,-131.152267,-52.333408,138.073517,1.074136,0.107045,0.414691,0.000628,
214,0.594444,,,,,,,,
215,0.597222,-131.150681,-52.303032,138.085571,1.074087,0.10706,0.414676,0.000645,
216,0.6,,,,,,,,
217,0.602778,-131.143738,-52.279865,138.086945,1.074071,0.10707,0.414666,0.000646,
218,0.605556,,,,,,,,
219,0.608333,-131.047501,-52.392086,137.985413,1.074252,0.107142,0.414407,0.000674,
220,0.611111,,,,,,,,
221,0.613889,-131.152664,-52.320896,138.07933,1.074113,0.107065,0.414707,0.000633,
222,0.616667,,,,,,,,
223,0.619444,-131.157669,-52.324566,138.065643,1.07412,0.107061,0.414703,0.000631,
224,0.622222,,,,,,,,
225,0.625,,,,,,,,
226,0.627778,-131.153687,-52.325184,138.059784,1.074152,0.107082,0.414654,0.000644,
227,0.630556,,,,,,,,
228,0.633333,-131.14386,-52.345158,138.064865,1.074176,0.107073,0.414647,0.00064,
229,0.636111,,,,,,,,
230,0.638889,,,,,,,,
231,0.641667,-131.139587,-52.339996,138.07901,1.074154,0.107068,0.414675,0.000644,
232,0.644444,,,,,,,,
233,0.647222,-131.14505,-52.317638,138.090866,1.07413,0.107092,0.414674,0.000639,
234,0.65,,,,,,,,
235,0.652778,-131.143021,-52.407604,138.013947,1.074287,0.107085,0.414574,0.000635,
236,0.655556,,,,,,,,
237,0.658333,,,,,,,,
238,0.661111,-131.138168,-52.350246,138.077652,1.074152,0.107055,0.414673,0.000613,
239,0.663889,,,,,,,,
240,0.666667,,,,,,,,
241,0.669444,,,,,,,,
242,0.672222,,,,,,,,
243,0.675,-131.144455,-52.324234,138.082138,1.074142,0.107079,0.41466,0.000649,
244,0.677778,,,,,,,,
245,0.680556,,,,,,,,
246,0.683333,-131.148224,-52.412682,138.019592,1.074291,0.107071,0.41461,0.000631,
247,0.686111,,,,,,,,
248,0.688889,-131.114868,-52.337852,138.085648,1.07416,0.107072,0.41462,0.000626,
249,0.691667,-131.134125,-52.307549,138.111694,1.074105,0.107067,0.414685,0.000632,
250,0.694444,,,,,,,,
251,0.697222,,,,,,,,
252,0.7,-131.158997,-52.324421,138.06308,1.074155,0.107069,0.41464,0.000649,
253,0.702778,-131.127396,-52.318573,138.087555,1.074128,0.107068,0.414633,0.000634,
254,0.705556,,,,,,,,
255,0.708333,-131.148819,-52.33242,138.069809,1.074163,0.107069,0.414645,0.000635,
256,0.711111,,,,,,,,
257,0.713889,,,,,,,,
258,0.716667,-131.174133,-52.35054,138.050903,1.074175,0.107071,0.414672,0.000626,
259,0.719444,,,,,,,,
260,0.722222,-131.14238,-52.343864,138.065506,1.074179,0.107074,0.41463,0.000635,
261,0.725,,,,,,,,
262,0.727778,,,,,,,,
263,0.730556,-131.144638,-52.348434,138.065491,1.074173,0.107046,0.414624,0.000631,
264,0.733333,-131.151535,-52.393108,138.026062,1.074246,0.107053,0.414605,0.000616,
265,0.736111,,,,,,,,
266,0.738889,,,,,,,,
267,0.741667,-131.13858,-52.310616,138.077515,1.074129,0.107072,0.414604,0.000647,
268,0.744444,,,,,,,,
269,0.747222,-131.160385,-52.372932,138.023636,1.074212,0.107046,0.41461,0.000627,
270,0.75,-131.161682,-52.329594,138.081558,1.074136,0.107041,0.414679,0.00064,
271,0.752778,,,,,,,,
272,0.755556,-131.140472,-52.36377,138.038849,1.074209,0.107041,0.414578,0.000634,
273,0.758333,-131.160065,-52.386208,138.005615,1.074239,0.10706,0.41459,0.000624,
274,0.761111,,,,,,,,
275,0.763889,,,,,,,,
276,0.766667,-131.187088,-52.380909,137.997482,1.074223,0.107038,0.41459,0.000632,
277,0.769444,-131.169632,-52.360363,138.044174,1.074175,0.107019,0.414649,0.000634,
278,0.772222,-131.155701,-52.333019,138.07016,1.074126,0.107036,0.414661,0.000631,
279,0.775,,,,,,,,
280,0.777778,-131.169693,-52.386536,138.030518,1.074209,0.107033,0.414634,0.00065,
281,0.780556,,,,,,,,
282,0.783333,,,,,,,,
283,0.786111,,,,,,,,
284,0.788889,,,,,,,,
285,0.791667,,,,,,,,
286,0.794444,-131.162598,-52.357841,138.025269,1.074163,0.107007,0.414573,0.000642,
287,0.797222,,,,,,,,
288,0.8,,,,,,,,
289,0.802778,,,,,,,,
290,0.805556,,,,,,,,
291,0.808333,-131.189941,-52.40202,137.986084,1.07422,0.107016,0.414602,0.000627,
292,0.811111,-131.195297,-52.366238,138.012161,1.074156,0.106999,0.414634,0.000633,
293,0.813889,-131.181763,-52.410259,137.974564,1.074234,0.107002,0.414534,0.000242,
294,0.816667,,,,,,,,
295,0.819444,,,,,,,,
296,0.822222,-131.206879,-52.445797,137.941711,1.074279,0.106967,0.414591,0.000622,
297,0.825,,,,,,,,
298,0.827778,,,,,,,,
299,0.830556,-131.179443,-52.349957,138.019836,1.074117,0.106986,0.414598,0.00064,
300,0.833333,,,,,,,,
301,0.836111,,,,,,,,
302,0.838889,,,,,,,,
303,0.841667,,,,,,,,
304,0.844444,-131.177872,-52.32769,138.029251,1.074074,0.106981,0.414598,0.000643,
305,0.847222,,,,,,,,
306,0.85,,,,,,,,
307,0.852778,-131.178406,-52.28059,138.076935,1.073958,0.106966,0.414665,0.000633,
308,0.855556,,,,,,,,
309,0.858333,,,,,,,,
310,0.861111,-131.209808,-52.353378,138.009018,1.074099,0.106947,0.414637,0.000631,
311,0.863889,-131.179459,-52.329819,138.047882,1.074028,0.106959,0.414635,0.00065,
312,0.866667,,,,,,,,
313,0.869444,,,,,,,,
314,0.872222,,,,,,,,
315,0.875,,,,,,,,
316,0.877778,-131.171326,-52.380733,137.993149,1.074131,0.10697,0.414546,0.000643,
317,0.880556,,,,,,,,
318,0.883333,-131.198029,-52.318726,138.040085,1.074002,0.106948,0.414631,0.000648,
319,0.886111,-131.183517,-52.404228,137.971848,1.074129,0.106956,0.41454,0.000627,
320,0.888889,,,,,,,,
321,0.891667,-131.191605,-52.387642,137.993912,1.074121,0.10695,0.414578,0.000637,
322,0.894444,,,,,,,,
323,0.897222,-131.111496,-52.303082,138.03392,1.07398,0.107033,0.414468,0.000696,
324,0.9,,,,,,,,
325,0.902778,,,,,,,,
326,0.905556,,,,,,,,
327,0.908333,-131.187683,-52.404213,137.971985,1.074135,0.106964,0.414535,0.000621,
328,0.911111,,,,,,,,
329,0.913889,-131.197128,-52.338634,138.014984,1.074008,0.106951,0.414591,0.000629,
330,0.916667,,,,,,,,
331,0.919444,,,,,,,,
332,0.922222,-131.106598,-52.377922,137.972473,1.074092,0.10707,0.414358,0.000695,
333,0.925,,,,,,,,
334,0.927778,-131.212341,-52.378956,137.98053,1.074085,0.106958,0.414562,0.000623,
335,0.930556,,,,,,,,
336,0.933333,,,,,,,,
337,0.936111,-131.206497,-52.400967,137.955521,1.074134,0.106953,0.414534,0.00063,
338,0.938889,,,,,,,,
339,0.941667,,,,,,,,
340,0.944444,,,,,,,,
341,0.947222,-131.191483,-52.368614,138.006943,1.074065,0.106961,0.414587,0.000634,
342,0.95,-131.184891,-52.340538,138.014908,1.074028,0.106993,0.414554,0.000637,
343,0.952778,,,,,,,,
344,0.955556,-131.201752,-52.343391,138.008896,1.074045,0.106979,0.414571,0.000641,
345,0.958333,,,,,,,,
346,0.961111,,,,,,,,
347,0.963889,-131.198334,-52.33567,138.023834,1.074005,0.106981,0.414608,0.000651,
348,0.966667,-131.187103,-52.338993,138.029694,1.074018,0.10699,0.414556,0.00066,
349,0.969444,,,,,,,,
350,0.972222,,,,,,,,
351,0.975,-131.23407,-52.399979,137.968903,1.074239,0.107007,0.41445,0.000725,
352,0.977778,,,,,,,,
353,0.980556,,,,,,,,
354,0.983333,-131.182968,-52.363224,138.043167,1.074087,0.106974,0.414586,0.000753,
355,0.986111,,,,,,,,
356,0.988889,-131.177246,-52.355358,138.054779,1.074049,0.106921,0.414661,0.000752,
357,0.991667,-131.302017,-52.363495,137.922455,1.074198,0.106911,0.414453,0.000744,
358,0.994444,-131.182571,-52.291927,138.094955,1.073999,0.106973,0.414662,0.000841,
359,0.997222,,,,,,,,
360,1,,,,,,,,
361,1.002778,-131.188019,-52.426163,137.981903,1.07426,0.106986,0.414515,0.000811,
362,1.005556,-131.171417,-52.347046,138.06337,1.074083,0.106963,0.414659,0.000797,
363,1.008333,-131.167603,-52.356487,138.076874,1.074097,0.106956,0.41469,0.000789,
364,1.011111,-131.135925,-52.338818,138.144272,1.074034,0.106948,0.414788,0.000773,
365,1.013889,,,,,,,,
366,1.016667,,,,,,,,
367,1.019444,-131.183228,-52.3619,138.055664,1.074133,0.106956,0.414664,0.000791,
368,1.022222,-131.175674,-52.329971,138.08075,1.07409,0.106968,0.414673,0.000794,
369,1.025,-131.173187,-52.394482,138.027328,1.074192,0.106948,0.414629,0.000774,
370,1.027778,-131.147812,-52.311813,138.10173,1.074058,0.106948,0.414659,0.000803,
371,1.030556,-131.181351,-52.36636,138.029465,1.074181,0.106935,0.414591,0.000804,
372,1.033333,-131.193695,-52.34029,138.026962,1.074142,0.106939,0.414622,0.000806,
