,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,turtle5,turtle5,turtle5,turtle5,turtle5,turtle5,turtle5,turtle2,turtle2,turtle2,turtle2,turtle2,turtle2,turtle2,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,
96,0.266667,,,,,,,,,,,,,,,,,,,,,
97,0.269444,,,,,,,,,,,,,,,,,,,,,
98,0.272222,,,,,,,,,,,,,,,,,,,,,
99,0.275000,,,,,,,,,,,,,,,,,,,,,
100,0.277778,,,,,,,,,,,,,,,,,,,,,
101,0.280556,,,,,,,,,,,,,,,,,,,,,
102,0.283333,,,,,,,,,,,,,,,,,,,,,
103,0.286111,,,,,,,,,,,,,,,,,,,,,
104,0.288889,,,,,,,,,,,,,,,,,,,,,
105,0.291667,,,,,,,,,,,,,,,-21.895790,6.817164,38.746262,2.911759,0.104646,-2.196390,0.002238
106,0.294444,,,,,,,,,,,,,,,,,,,,,
107,0.297222,,,,,,,,,,,,,,,,,,,,,
108,0.300000,,,,,,,,,,,,,,,,,,,,,
109,0.302778,,,,,,,,,,,,,,,,,,,,,
110,0.305556,,,,,,,,,,,,,,,,,,,,,
111,0.308333,,,,,,,,,,,,,,,,,,,,,
112,0.311111,,,,,,,,,,,,,,,,,,,,,
113,0.313889,,,,,,,,,,,,,,,,,,,,,
114,0.316667,,,,,,,,,,,,,,,,,,,,,
115,0.319444,,,,,,,,,,,,,,,,,,,,,
116,0.322222,,,,,,,,,,,,,,,,,,,,,
117,0.325000,,,,,,,,,,,,,,,,,,,,,
118,0.327778,,,,,,,,,,,,,,,,,,,,,
119,0.330556,,,,,,,,,,,,,,,,,,,,,
120,0.333333,,,,,,,,,,,,,,,,,,,,,
121,0.336111,,,,,,,,,,,,,,,,,,,,,
122,0.338889,,,,,,,,,,,,,,,,,,,,,
123,0.341667,,,,,,,,,,,,,,,,,,,,,
124,0.344444,,,,,,,,,,,,,,,,,,,,,
125,0.347222,,,,,,,,,,,,,,,,,,,,,
126,0.350000,,,,,,,,,,,,,,,,,,,,,
127,0.352778,,,,,,,,,,,,,,,,,,,,,
128,0.355556,,,,,,,,,,,,,,,-21.917896,5.871259,39.264454,2.911780,0.104687,-2.196412,0.002102
129,0.358333,,,,,,,,,,,,,,,,,,,,,
130,0.361111,,,,,,,,,,,,,,,,,,,,,
131,0.363889,,,,,,,,,,,,,,,,,,,,,
132,0.366667,,,,,,,,,,,,,,,,,,,,,
133,0.369444,,,,,,,,,,,,,,,,,,,,,
134,0.372222,,,,,,,,,,,,,,,,,,,,,
135,0.375000,,,,,,,,,,,,,,,,,,,,,
136,0.377778,,,,,,,,,,,,,,,,,,,,,
137,0.380556,,,,,,,,,,,,,,,,,,,,,
